Description,Class
Grid Charge - Production Line 3 (Monthly),Electricity
Water Charges - Production Site April,Water
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Power Consumption - R&D Lab (Semi-Annual),Electricity
Gas Consumption - Chemical Storage February,Heating
Water Charges - Admin Block Annual Fee,Water
Natural Gas Supply - Chemical Storage Winter Season,Heating
Propane Purchase - Manufacturing Area Q4,Heating
Waste Disposal - Pallet Disposal Weekly Service,Waste Disposal
Propane Purchase - Boiler Room Gas Meter Reading,Heating
Water Supply - Fire Sprinklers April,Water
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Kwh Usage - R&D Lab (January),Electricity
Refuse Collection - Solvent Waste Monthly Fee,Waste Disposal
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Water Charges - Laboratory Meter Reading,Water
Waste Disposal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Irrigation System Monthly Invoice,Water
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Municipal Water - Fire Sprinklers Meter Reading,Water
Fuel Oil Delivery - Warehouse Winter Season,Heating
Fuel Oil Delivery - Boiler Room Gas Meter Reading,Heating
Heating Service - Manufacturing Area Winter Season,Heating
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
Municipal Water - Admin Block April,Water
Gas Consumption - Boiler Room Peak Demand,Heating
Municipal Water - Cooling Tower April,Water
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Container Emptying,Waste Disposal
Heating Service - Warehouse February,Heating
Electricity Supply - Main Plant (December),Electricity
Power Consumption - R&D Lab (Q1),Electricity
Fuel Oil Delivery - Manufacturing Area Peak Demand,Heating
Water Supply - Admin Block July,Water
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Utility Water Bill - Fire Sprinklers Q2,Water
Power Consumption - North Warehouse (January),Electricity
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Water Supply - Production Site Annual Fee,Water
Gas Consumption - Boiler Room October,Heating
Waste Disposal - Solvent Waste Monthly Fee,Waste Disposal
Water Charges - Admin Block Q2,Water
Municipal Water - Irrigation System Q3,Water
Refuse Collection - Recyclable Materials Container Emptying,Waste Disposal
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Power Consumption - Data Center (Monthly),Electricity
Scrap Metal Hauling - Recyclable Materials Q1,Waste Disposal
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Grid Charge - R&D Lab (Monthly),Electricity
H2O Billing - Cooling Tower April,Water
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
Electrical Service - Production Line 3 (January),Electricity
Power Consumption - North Warehouse (Q1),Electricity
Propane Purchase - Manufacturing Area October,Heating
Propane Purchase - Boiler Room Monthly,Heating
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Main Plant (Year-End),Electricity
H2O Billing - Admin Block Q2,Water
Kwh Usage - Data Center (Monthly),Electricity
Chemical Waste Removal - Recyclable Materials Q1,Waste Disposal
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Refuse Collection - Industrial Debris Q1,Waste Disposal
Natural Gas Supply - Manufacturing Area Gas Meter Reading,Heating
Power Consumption - North Warehouse (Year-End),Electricity
Water Charges - Fire Sprinklers Monthly Invoice,Water
Kwh Usage - Data Center (Monthly),Electricity
Gas Consumption - Chemical Storage October,Heating
Grid Charge - Production Line 3 (December),Electricity
Kwh Usage - Packaging Facility (Year-End),Electricity
Municipal Water - Fire Sprinklers Annual Fee,Water
Propane Purchase - Boiler Room February,Heating
Municipal Water - Production Site July,Water
Scrap Metal Hauling - Solvent Waste Q1,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Electrical Service - Main Plant (Monthly),Electricity
Water Charges - Fire Sprinklers Q3,Water
Grid Charge - Production Line 3 (Monthly),Electricity
Heating Service - Warehouse October,Heating
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Electricity Supply - Packaging Facility (Monthly),Electricity
Water Supply - Production Site Q2,Water
Kwh Usage - Packaging Facility (Q3),Electricity
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Water Supply - Production Site July,Water
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Power Consumption - Corporate Office (December),Electricity
Kwh Usage - Production Line 3 (Quarterly),Electricity
Utility Water Bill - Admin Block April,Water
Water Charges - Cooling Tower Q3,Water
Propane Purchase - Warehouse Monthly,Heating
Municipal Water - Laboratory Q2,Water
Chemical Waste Removal - Pallet Disposal Weekly Service,Waste Disposal
Natural Gas Supply - Office Building 2 February,Heating
Heating Service - Office Building 2 Monthly,Heating
Grid Charge - Production Line 3 (January),Electricity
Natural Gas Supply - Manufacturing Area October,Heating
Scrap Metal Hauling - General Refuse Weekly Service,Waste Disposal
Power Consumption - Corporate Office (Quarterly),Electricity
Natural Gas Supply - Chemical Storage February,Heating
Municipal Water - Production Site Q2,Water
Waste Disposal - General Refuse Container Emptying,Waste Disposal
Utility Water Bill - Irrigation System Meter Reading,Water
Water Charges - Laboratory Annual Fee,Water
Fuel Oil Delivery - Manufacturing Area October,Heating
Fuel Oil Delivery - Warehouse Winter Season,Heating
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Grid Charge - Corporate Office (Monthly),Electricity
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Waste Disposal - Industrial Debris Q1,Waste Disposal
Fuel Oil Delivery - Warehouse Winter Season,Heating
Propane Purchase - Drying Ovens October,Heating
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Gas Consumption - Boiler Room Winter Season,Heating
Heating Service - Manufacturing Area Q4,Heating
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Electricity Supply - Data Center (Year-End),Electricity
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Water Supply - Fire Sprinklers Annual Fee,Water
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
Electrical Service - Corporate Office (Monthly),Electricity
Propane Purchase - Drying Ovens February,Heating
Water Charges - Admin Block Q2,Water
Municipal Water - Irrigation System Annual Fee,Water
Waste Disposal - Industrial Debris Monthly Fee,Waste Disposal
Chemical Waste Removal - Recyclable Materials Q1,Waste Disposal
Electrical Service - Main Plant (Q1),Electricity
Propane Purchase - Warehouse Q4,Heating
Utility Water Bill - Cooling Tower April,Water
Water Supply - Laboratory July,Water
Electrical Service - R&D Lab (January),Electricity
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Gas Consumption - Manufacturing Area October,Heating
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Municipal Water - Fire Sprinklers Meter Reading,Water
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Waste Disposal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Production Line 3 (Q3),Electricity
H2O Billing - Cooling Tower Q3,Water
Electricity Supply - Data Center (Monthly),Electricity
Water Charges - Admin Block Q3,Water
Utility Water Bill - Laboratory Q2,Water
Heating Service - Drying Ovens Q4,Heating
Heating Service - Manufacturing Area February,Heating
Propane Purchase - Chemical Storage Q4,Heating
Water Supply - Admin Block Q3,Water
Power Consumption - R&D Lab (Q3),Electricity
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Power Consumption - Corporate Office (Quarterly),Electricity
Scrap Metal Hauling - Recyclable Materials Q1,Waste Disposal
Refuse Collection - General Refuse Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
H2O Billing - Admin Block Q3,Water
Electrical Service - R&D Lab (January),Electricity
Electrical Service - Packaging Facility (Q1),Electricity
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Propane Purchase - Office Building 2 Winter Season,Heating
Electricity Supply - Packaging Facility (Year-End),Electricity
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Kwh Usage - R&D Lab (December),Electricity
Electrical Service - Main Plant (Q1),Electricity
Water Supply - Production Site Q3,Water
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Propane Purchase - Warehouse Peak Demand,Heating
Natural Gas Supply - Manufacturing Area Monthly,Heating
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Waste Disposal - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Production Line 3 (Monthly),Electricity
Natural Gas Supply - Drying Ovens February,Heating
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Water Charges - Irrigation System July,Water
Gas Consumption - Drying Ovens February,Heating
Municipal Water - Cooling Tower Annual Fee,Water
Utility Water Bill - Irrigation System Q3,Water
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
H2O Billing - Fire Sprinklers Meter Reading,Water
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Utility Water Bill - Production Site Q2,Water
Power Consumption - North Warehouse (December),Electricity
Power Consumption - R&D Lab (Year-End),Electricity
Electrical Service - R&D Lab (Semi-Annual),Electricity
Utility Water Bill - Admin Block Meter Reading,Water
Waste Disposal - General Refuse Container Emptying,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Electrical Service - Production Line 3 (Year-End),Electricity
Utility Water Bill - Irrigation System July,Water
H2O Billing - Laboratory April,Water
Waste Disposal - General Refuse Q1,Waste Disposal
Power Consumption - Data Center (Year-End),Electricity
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
Water Charges - Laboratory Meter Reading,Water
Power Consumption - North Warehouse (Q3),Electricity
H2O Billing - Cooling Tower April,Water
Propane Purchase - Manufacturing Area Q4,Heating
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Refuse Collection - General Refuse Q1,Waste Disposal
Fuel Oil Delivery - Office Building 2 Monthly,Heating
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Boiler Room Winter Season,Heating
Utility Water Bill - Admin Block April,Water
Fuel Oil Delivery - Drying Ovens Monthly,Heating
H2O Billing - Irrigation System Annual Fee,Water
Propane Purchase - Office Building 2 Peak Demand,Heating
Scrap Metal Hauling - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Electrical Service - Corporate Office (Q1),Electricity
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
Grid Charge - Data Center (January),Electricity
Municipal Water - Fire Sprinklers Monthly Invoice,Water
Kwh Usage - North Warehouse (Quarterly),Electricity
Electrical Service - R&D Lab (Monthly),Electricity
Grid Charge - Data Center (Monthly),Electricity
Kwh Usage - Corporate Office (Quarterly),Electricity
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Manufacturing Area October,Heating
Fuel Oil Delivery - Drying Ovens Monthly,Heating
Municipal Water - Irrigation System Monthly Invoice,Water
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Electricity Supply - R&D Lab (Q1),Electricity
Gas Consumption - Chemical Storage Monthly,Heating
Scrap Metal Hauling - General Refuse Weekly Service,Waste Disposal
Municipal Water - Cooling Tower July,Water
Scrap Metal Hauling - Pallet Disposal Weekly Service,Waste Disposal
Grid Charge - Packaging Facility (Monthly),Electricity
Propane Purchase - Drying Ovens Winter Season,Heating
Power Consumption - Production Line 3 (December),Electricity
Electricity Supply - Main Plant (Q3),Electricity
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Water Supply - Cooling Tower April,Water
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
H2O Billing - Cooling Tower Q2,Water
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Grid Charge - Data Center (Monthly),Electricity
Utility Water Bill - Cooling Tower Monthly Invoice,Water
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Municipal Water - Cooling Tower Meter Reading,Water
Water Supply - Fire Sprinklers Monthly Invoice,Water
Grid Charge - Production Line 3 (January),Electricity
H2O Billing - Cooling Tower Meter Reading,Water
Gas Consumption - Drying Ovens Winter Season,Heating
Grid Charge - Main Plant (Q1),Electricity
Grid Charge - Packaging Facility (December),Electricity
Water Charges - Irrigation System Q3,Water
Water Supply - Production Site Q2,Water
Electrical Service - Production Line 3 (Year-End),Electricity
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
Waste Disposal - Solvent Waste Q1,Waste Disposal
Waste Disposal - Industrial Debris Weekly Service,Waste Disposal
Grid Charge - Corporate Office (December),Electricity
Propane Purchase - Office Building 2 Q4,Heating
Electricity Supply - Production Line 3 (Monthly),Electricity
Electricity Supply - Packaging Facility (Q1),Electricity
Utility Water Bill - Cooling Tower Q2,Water
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Fuel Oil Delivery - Chemical Storage Monthly,Heating
Hazardous Waste Pickup - Pallet Disposal Container Emptying,Waste Disposal
Waste Disposal - General Refuse Q1,Waste Disposal
Heating Service - Office Building 2 Q4,Heating
Utility Water Bill - Irrigation System July,Water
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Drying Ovens Peak Demand,Heating
Water Charges - Cooling Tower Q3,Water
Power Consumption - Main Plant (Semi-Annual),Electricity
Power Consumption - Production Line 3 (Monthly),Electricity
Water Charges - Irrigation System April,Water
Water Charges - Fire Sprinklers Meter Reading,Water
